Data Columns,baseline_qwen3-8b,qwen3-8b,baseline_qwen3-1p7b,qwen3-1p7b,baseline_qwen3-14b,qwen3-14b,baseline_llama-3p1-8b-instruct,llama-3p1-8b-instruct,baseline_gemma-3-12b-it,gemma-3-12b-it
Status / date,succeeded 2026-05-03 (--no_train baseline),succeeded 2026-04-26 (heldout completed 2026-04-27),succeeded 2026-05-06 (--no_train baseline),succeeded 2026-04-30,succeeded 2026-05-06 (--no_train baseline),succeeded 2026-05-01,succeeded 2026-05-06 (--no_train baseline),succeeded 2026-05-02,succeeded 2026-05-06 (--no_train baseline),succeeded 2026-05-03
Base model,Qwen/Qwen3-8B,Qwen/Qwen3-8B,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,Qwen/Qwen3-14B,Qwen/Qwen3-14B,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,google/gemma-3-12b-it,google/gemma-3-12b-it
Seed coverage,"val=[1], heldout=[1]","val=[1, 2, 3], heldout=[1, 2, 3]","val=[1], heldout=[1]","val=[1, 2, 3], heldout=[1, 2, 3]","val=[1], heldout=[1]","val=[1, 2, 3], heldout=[1, 2, 3]","val=[1], heldout=[1]","val=[1, 2, 3], heldout=[1, 2, 3]","val=[1], heldout=[1]","val=[1, 2, 3], heldout=[1, 2, 3]"
Transferred Qwen3-8B starting configuration,,,,,,,,,,
Training / vector source file(s) used for this size if applicable,(none — --no_train baseline),data/2026_03_22_low_stakes_training_set_1000_situations_with_CoTs.csv,(none — --no_train baseline),data/2026_03_22_low_stakes_training_set_1000_situations_with_CoTs.csv,(none — --no_train baseline),data/2026_03_22_low_stakes_training_set_1000_situations_with_CoTs.csv,(none — --no_train baseline),data/2026_03_22_low_stakes_training_set_1000_situations_with_CoTs.csv,(none — --no_train baseline),data/2026_03_22_low_stakes_training_set_1000_situations_with_CoTs.csv
System prompt used for this size,(none — empty by design),(none — empty by design),(none — empty by design),(none — empty by design),(none — empty by design),(none — empty by design),(none — empty by design),(none — empty by design),(none — empty by design),(none — empty by design)
Validation sweep settings tried,(none — no training),"LR ladder [5e-5, 1e-4, 5e-4] @ epochs=3, then epoch ladder [3, 5, 7] @ lr=5e-4 (seed=1 throughout)",(none — no training),"LR ladder [5e-5, 1e-4, 5e-4] @ epochs=3, then epoch ladder [3, 5, 7] @ lr=5e-4 (seed=1 throughout)",(none — no training),"LR ladder [5e-5, 1e-4, 5e-4] @ epochs=3, then epoch ladder [3, 5, 7] @ lr=5e-4 (seed=1 throughout)",(none — no training),"LR ladder [5e-5, 1e-4, 5e-4] @ epochs=3, then epoch ladder [3, 5, 7] @ lr=5e-4 (seed=1 throughout)",(none — no training),"LR ladder [5e-5, 1e-4, 5e-4] @ epochs=3, then epoch ladder [3, 5, 7] @ lr=5e-4 (seed=1 throughout)"
Validation sweep JSON folder or URL,(none — no sweep),"qwen3-8b/lr_ablation, qwen3-8b/epoch_ablation_e3, qwen3-8b/epoch_ablation_e5, qwen3-8b/epoch_ablation_e7",(none — no sweep),"qwen3-1p7b/lr_ablation, qwen3-1p7b/epoch_ablation_e3, qwen3-1p7b/epoch_ablation_e5, qwen3-1p7b/epoch_ablation_e7",(none — no sweep),"qwen3-14b/lr_ablation, qwen3-14b/epoch_ablation_e3, qwen3-14b/epoch_ablation_e5, qwen3-14b/epoch_ablation_e7",(none — no sweep),"llama-3p1-8b-instruct/lr_ablation, llama-3p1-8b-instruct/epoch_ablation_e3, llama-3p1-8b-instruct/epoch_ablation_e5, llama-3p1-8b-instruct/epoch_ablation_e7",(none — no sweep),"gemma-3-12b-it/lr_ablation, gemma-3-12b-it/epoch_ablation_e3, gemma-3-12b-it/epoch_ablation_e5, gemma-3-12b-it/epoch_ablation_e7"
Best validation run ID,(none — no sweep),"lr=5e-4, epochs=5",(none — no sweep),"lr=5e-4, epochs=3",(none — no sweep),"lr=5e-4, epochs=7",(none — no sweep),"lr=5e-4, epochs=3",(none — no sweep),"lr=5e-4, epochs=7"
Locked size-specific configuration,"no training (--no_train); random init only, seed=1","lr=5e-4, epochs=5, batch=2x32, max_length=1024, fp16, LoRA r=32 alpha=64","no training (--no_train); random init only, seed=1","lr=5e-4, epochs=3, batch=2x32, max_length=1024, fp16, LoRA r=32 alpha=64","no training (--no_train); random init only, seed=1","lr=5e-4, epochs=7, batch=2x32, max_length=1024, fp16, LoRA r=32 alpha=64","no training (--no_train); random init only, seed=1","lr=5e-4, epochs=3, batch=2x32, max_length=1024, fp16, LoRA r=32 alpha=64","no training (--no_train); random init only, seed=1","lr=5e-4, epochs=7, batch=2x32, max_length=1024, bf16, LoRA r=32 alpha=64"
