model,dataset,run,n,parsed,coop,coop_rate_pct,parse_rate_pct,coop_over_attempts_pct,token_limit_pct,median_tokens,mean_tokens
llama,medium_stakes_validation,baseline,200,195,31,15.8974,97.5,15.5,0.0,300,327.7
llama,medium_stakes_validation,seed_1,200,197,61,30.9645,98.5,30.5,0.5,304,339.2
llama,medium_stakes_validation,seed_2,200,197,68,34.5178,98.5,34.0,0.0,299,322.5
llama,medium_stakes_validation,seed_3,200,198,49,24.7475,99.0,24.5,0.0,283,309.8
llama,medium_stakes_validation,seed_4,200,197,67,34.0102,98.5,33.5,0.0,284,315.7
llama,medium_stakes_validation,seed_5,200,194,66,34.0206,97.0,33.0,0.0,289,307.2
llama,high_stakes_test,baseline,1000,982,124,12.6273,98.2,12.4,0.1,308,335.5
llama,high_stakes_test,seed_1,1000,985,278,28.2234,98.5,27.8,0.1,303,328.1
llama,high_stakes_test,seed_2,1000,980,262,26.7347,98.0,26.2,0.2,310,334.4
llama,high_stakes_test,seed_3,1000,978,263,26.8916,97.8,26.3,0.3,295,330.7
llama,high_stakes_test,seed_4,1000,989,271,27.4014,98.9,27.1,0.1,299,325.0
llama,high_stakes_test,seed_5,1000,971,258,26.5705,97.1,25.8,0.6,297,344.9
llama,astronomical_stakes_deployment,baseline,1000,957,69,7.21,95.7,6.9,0.2,347,377.5
llama,astronomical_stakes_deployment,seed_1,1000,964,245,25.4149,96.4,24.5,1.6,345,428.5
llama,astronomical_stakes_deployment,seed_2,1000,955,249,26.0733,95.5,24.9,2.1,352,449.3
llama,astronomical_stakes_deployment,seed_3,1000,951,231,24.2902,95.1,23.1,2.3,351,457.3
llama,astronomical_stakes_deployment,seed_4,1000,958,245,25.5741,95.8,24.5,1.5,353,425.9
llama,astronomical_stakes_deployment,seed_5,1000,960,235,24.4792,96.0,23.5,1.3,343,411.2
llama,steals_test,baseline,1000,984,696,70.7317,98.4,69.6,0.0,269,300.2
llama,steals_test,seed_1,1000,987,645,65.3495,98.7,64.5,0.1,246,282.6
llama,steals_test,seed_2,1000,986,639,64.8073,98.6,63.9,0.1,248,279.3
llama,steals_test,seed_3,1000,979,664,67.8243,97.9,66.4,0.2,235,268.4
llama,steals_test,seed_4,1000,984,636,64.6341,98.4,63.6,0.1,240,267.4
llama,steals_test,seed_5,1000,977,628,64.2784,97.7,62.8,0.0,243,269.8
gemma,medium_stakes_validation,baseline,200,196,34,17.3469,98.0,17.0,1.5,723,787.3
gemma,medium_stakes_validation,seed_1,200,199,124,62.3116,99.5,62.0,0.0,1025,1031.9
gemma,medium_stakes_validation,seed_2,200,197,125,63.4518,98.5,62.5,0.0,1053,1055.6
gemma,medium_stakes_validation,seed_3,200,199,125,62.8141,99.5,62.5,0.0,1046,1053.8
gemma,medium_stakes_validation,seed_4,200,196,121,61.7347,98.0,60.5,0.5,1039,1066.8
gemma,medium_stakes_validation,seed_5,200,199,124,62.3116,99.5,62.0,0.0,1048,1044.0
gemma,high_stakes_test,baseline,1000,986,109,11.0548,98.6,10.9,1.2,740,794.3
gemma,high_stakes_test,seed_1,1000,993,568,57.2004,99.3,56.8,0.0,1039,1044.4
gemma,high_stakes_test,seed_2,1000,989,588,59.454,98.9,58.8,0.2,1060,1068.5
gemma,high_stakes_test,seed_3,1000,980,559,57.0408,98.0,55.9,0.6,1056,1080.6
gemma,high_stakes_test,seed_4,1000,987,550,55.7244,98.7,55.0,0.4,1057,1078.0
gemma,high_stakes_test,seed_5,1000,986,562,56.998,98.6,56.2,0.4,1060,1076.4
gemma,astronomical_stakes_deployment,baseline,1000,986,74,7.5051,98.6,7.4,0.5,782,815.7
gemma,astronomical_stakes_deployment,seed_1,1000,973,415,42.6516,97.3,41.5,0.9,1146,1176.6
gemma,astronomical_stakes_deployment,seed_2,1000,979,409,41.7773,97.9,40.9,0.4,1152,1168.7
gemma,astronomical_stakes_deployment,seed_3,1000,979,387,39.5301,97.9,38.7,0.5,1144,1164.9
gemma,astronomical_stakes_deployment,seed_4,1000,979,421,43.0031,97.9,42.1,0.5,1153,1174.1
gemma,astronomical_stakes_deployment,seed_5,1000,975,434,44.5128,97.5,43.4,0.6,1157,1179.2
gemma,steals_test,baseline,1000,993,787,79.2548,99.3,78.7,0.7,607,649.4
gemma,steals_test,seed_1,1000,981,566,57.6962,98.1,56.6,0.5,1015,1041.5
gemma,steals_test,seed_2,1000,986,564,57.2008,98.6,56.4,0.8,1039,1068.7
gemma,steals_test,seed_3,1000,983,555,56.4598,98.3,55.5,0.8,1036,1066.0
gemma,steals_test,seed_4,1000,989,532,53.7917,98.9,53.2,0.7,1039,1070.1
gemma,steals_test,seed_5,1000,982,579,58.9613,98.2,57.9,1.0,1045,1077.7
